Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C8, C9",CP_Radial_D10.0mm_P5.00mm,5,100uF,
"C2, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,100nF,
"C6, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,470nF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D3.0mm,8,LED,
"D10, D9",D_A-405_P7.62mm_Horizontal,2,D_Schottky,
J1,CONN16_USB4085-GF-A_GCT,1,USB4085-GF-A,
"J2, J4",KYCON_STX-3120-3B,2,STX-3120-3B,
J5,adafruit_ips_tf2_board,1,~,
J6,adafruit_quad_encoder_board,1,~,
L1,L_Axial_L16.0mm_D7.5mm_P25.40mm_Horizontal_Fastron_XHBCC,1,1mH,
"R1, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,220R,
"R10, R11",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,33kR,
"R12, R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,22kR,
"R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1kR,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3R3,
"R17, R18, R19, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10kR,
"S1, S2, S3, S4",SW_TS02-66-95-BK-100-LCR-D,4,TS02-66-95-BK-100-LCR-D,
S5,SW_L101011ML04Q,1,L101011ML04Q,
U1,DAISY_SEED,1,Daisy_Seed,
U3,adafruit_feather_rp2040,1,~,
U4,DGN8_1P89X1P57,1,TPA6110A2DGNR,
