Designator,Mid X,Mid Y,Rotation,Layer
C1,51.032323,-120.05,0.0,top
C2,54.1,-194.2,0.0,top
C3,85.932323,-189.75,0.0,top
C4,85.932323,-176.85,0.0,top
C5,62.55,-179.15,90.0,top
C6,73.6,-182.5,180.0,top
C7,49.65,-179.9,0.0,top
C8,51.032323,-132.85,0.0,top
C9,50.925,-145.875,0.0,top
D1,103.6828,-108.4072,90.0,top
D10,27.063,-150.5198,0.0,top
D2,103.6828,-102.5652,90.0,top
D3,103.6828,-96.7232,90.0,top
D4,103.6828,-90.8812,90.0,top
D5,87.3,-79.74,90.0,top
D6,87.25,-49.12,90.0,top
D7,87.2,-64.27,90.0,top
D8,87.3,-33.58,90.0,top
D9,50.9,-109.6,180.0,top
H1,20.5,-21.5,0.0,top
H2,106.5,-21.5,0.0,top
H3,20.5,-192.5,0.0,top
H4,106.5,-192.5,0.0,top
H5,70.625,-56.579,0.0,top
J1,23.30895,-119.017407,270.0,top
J2,105.0,-181.75,180.0,top
J3,42.52,-98.55,0.0,top
J4,22.0,-182.0,0.0,top
J5,21.33,-25.818,90.0,top
J6,70.625,-56.579,90.0,top
L1,38.05,-124.35,270.0,top
P01,94.0,-157.7,270.0,top
R1,94.3,-108.05,0.0,top
R10,70.6,-190.22,90.0,top
R11,56.35,-186.9,90.0,top
R12,74.85,-190.24,270.0,top
R13,48.4,-186.9,90.0,top
R14,25.3,-101.31,270.0,top
R15,20.05,-101.3,90.0,top
R16,35.25,-146.69,270.0,top
R17,79.11,-151.05,180.0,top
R18,79.11,-144.2,180.0,top
R19,79.11,-147.75,180.0,top
R2,79.11,-158.4,0.0,top
R3,94.3,-102.6,0.0,top
R4,94.3,-96.9,0.0,top
R5,94.3,-91.2,0.0,top
R6,93.6,-79.74,90.0,top
R7,93.6,-48.94,90.0,top
R8,93.6,-64.23,90.0,top
R9,93.6,-33.58,90.0,top
S1,102.9356,-79.74,270.0,top
S2,102.9356,-64.415333,270.0,top
S3,102.9356,-48.982,270.0,top
S4,102.9356,-33.58,270.0,top
S5,26.0604,-134.6582,270.0,top
U1,44.8056,-162.7632,90.0,top
U3,84.55,-129.64,0.0,top
U4,62.225001,-191.9455,90.0,top
